school_id,school_name,official_website,offer_holder_url,admitted_student_url,visa_url,accommodation_url,tuition_url,orientation_url
hku,The University of Hong Kong,https://www.hku.hk/,https://admissions.hku.hk/tpg/,https://admissions.hku.hk/tpg/,https://studentvisa.hku.hk/,https://housing.cedars.hku.hk/,https://admissions.hku.hk/tpg/,https://www.cedars.hku.hk/non-local/orientationdaypg
cuhk,The Chinese University of Hong Kong,https://www.cuhk.edu.hk/,https://www.gs.cuhk.edu.hk/admissions,https://www.gs.cuhk.edu.hk/admissions,https://www.gs.cuhk.edu.hk/registration/visa-application,https://www.gs.cuhk.edu.hk/admissions/campus-support,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year,https://www.gs.cuhk.edu.hk/academics/preparation-for-new-academic-year
hkust,The Hong Kong University of Science and Technology,https://hkust.edu.hk/,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/accepting-offer,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/handy-resources-preparing-your-studies/handy-resources-tpg,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/applying-student-visa,https://shrl.hkust.edu.hk/apply-for-housing/pg/tpgs-visiting-internship-students-and-mba-students,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/submitting-an-application/scholarships-and-fees,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/moving-to-hong-kong
cityu,City University of Hong Kong,https://www.cityu.edu.hk/,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,https://www.cityu.edu.hk/geo/non-local-students/visa,https://www.cityu.edu.hk/sro/StudentHousing/PGHalls/MDS/,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,https://www.cityu.edu.hk/orientation/event/postgraduate-student-orientation
polyu,The Hong Kong Polytechnic University,https://www.polyu.edu.hk/,https://www.polyu.edu.hk/study/pg/taught-postgraduate/,https://www.polyu.edu.hk/study/pg/taught-postgraduate/,https://www.polyu.edu.hk/ar/web/for-new-students/non-local-students/important-notes-for-non-local-students/,https://www.polyu.edu.hk/sao/student-resources-and-support-section/residential-life/,https://www.polyu.edu.hk/study/pg/taught-postgraduate/tuition-fees-tpg,https://www.polyu.edu.hk/sao/student-resources-and-support-section/non-local-student-services/programmes-for-nls/orientation-and-welcoming-weeks/
hkbu,Hong Kong Baptist University,https://www.hkbu.edu.hk/,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-important-information,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-important-information,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-student-visa-application,https://sa.hkbu.edu.hk/en/accm/on-campus-accommodation/apply-for-pg-accommodation/non-local-taught-postgraduate-students.html,https://ar.hkbu.edu.hk/tpg-studies/current-students/academic-requirements/tuition-fees,https://ar.hkbu.edu.hk/tpg-studies/current-students/orientation-information
lingnan,Lingnan University,https://www.ln.edu.hk/,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,https://www.ln.edu.hk/fb/tpo/applications/information-for-non-local-applicants,https://www.ln.edu.hk/osa/student-experience/cultural-integration/planning-your-arrival/accommodation,https://www.ln.edu.hk/sgs/tpg,https://www.ln.edu.hk/osa/student-experience/cultural-integration/orientation-and-support/orientation-for-non-local-taught-postgraduate-students
eduhk,The Education University of Hong Kong,https://www.eduhk.hk/,https://gs.eduhk.hk/prospective/after-getting-an-offer/,https://gs.eduhk.hk/prospective/after-getting-an-offer/,https://gs.eduhk.hk/prospective/information-for-non-local-student/,https://gs.eduhk.hk/prospective/information-for-non-local-student/,https://gs.eduhk.hk/pg-programmes-2026/application-admission.html,https://gs.eduhk.hk/current/student-support/
