school,page_type,stage,source_url,priority,need_dynamic,latest_status,latest_http_status,latest_title,latest_final_url,latest_crawled_at,latest_raw_file,latest_content_type,latest_char_count,usable_status,usable_title,usable_final_url,usable_crawled_at,usable_raw_file,usable_content_type,usable_char_count,attempt_count,success_count,last_success_at,raw_file_exists,needs_attention,attention_reason,latest_error
CityU,visa,visa,https://www.cityu.edu.hk/geo/non-local-students/visa,1,yes,success_dynamic,200.0,Student Visa / Entry Permit | CityUHK Admission,https://www.cityu.edu.hk/admo/non-local-students/visa/student-visa,2026-06-29T00:45:03+00:00,data/raw_pages/cityu__visa__9a7c84e396.txt,text/html,8197,success_dynamic,Student Visa / Entry Permit | CityUHK Admission,https://www.cityu.edu.hk/admo/non-local-students/visa/student-visa,2026-06-29T00:45:03+00:00,data/raw_pages/cityu__visa__9a7c84e396.txt,text/html,8197,3,2,2026-06-29T00:45:03+00:00,yes,no,,
CityU,faq,general,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2,yes,success_dynamic,200.0,Master's Programmes : FAQs | CityUHK Postgraduate Admissions,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29T00:47:42+00:00,data/raw_pages/cityu__faq__f3c7b444a7.txt,text/html,41719,success_dynamic,Master's Programmes : FAQs | CityUHK Postgraduate Admissions,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29T00:47:42+00:00,data/raw_pages/cityu__faq__f3c7b444a7.txt,text/html,41719,1,1,2026-06-29T00:47:42+00:00,yes,no,,
CityU,orientation,orientation,https://www.cityu.edu.hk/orientation/event/postgraduate-student-orientation,2,yes,success_dynamic,200.0,Postgraduate Student Orientation | Student Orientation 2025,https://www.cityu.edu.hk/orientation/event/postgraduate-student-orientation,2026-06-29T00:47:43+00:00,data/raw_pages/cityu__orientation__bafe138fc7.txt,text/html,2694,success_dynamic,Postgraduate Student Orientation | Student Orientation 2025,https://www.cityu.edu.hk/orientation/event/postgraduate-student-orientation,2026-06-29T00:47:43+00:00,data/raw_pages/cityu__orientation__bafe138fc7.txt,text/html,2694,1,1,2026-06-29T00:47:43+00:00,yes,no,,
CityU,tuition,payment,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes,2,yes,success_dynamic,200.0,Master's Programmes : Introduction | CityUHK Postgraduate Admissions,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/introduction,2026-06-29T00:45:27+00:00,data/raw_pages/cityu__tuition__2e71d68c28.txt,text/html,2483,success_dynamic,Master's Programmes : Introduction | CityUHK Postgraduate Admissions,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/introduction,2026-06-29T00:45:27+00:00,data/raw_pages/cityu__tuition__2e71d68c28.txt,text/html,2483,2,1,2026-06-29T00:45:27+00:00,yes,no,,
EdUHK,accommodation,housing,https://gs.eduhk.hk/prospective/information-for-non-local-student/,1,yes,success_dynamic,200.0,"Information for Non-Local Student – Graduate School, The Education University of Hong Kong",https://gs.eduhk.hk/prospective/information-for-non-local-student/,2026-06-29T01:07:21+00:00,data/raw_pages/eduhk__accommodation__d50d25f12a.txt,text/html,1276,success_dynamic,"Information for Non-Local Student – Graduate School, The Education University of Hong Kong",https://gs.eduhk.hk/prospective/information-for-non-local-student/,2026-06-29T01:07:21+00:00,data/raw_pages/eduhk__accommodation__d50d25f12a.txt,text/html,1276,2,2,2026-06-29T01:07:21+00:00,yes,no,,
EdUHK,admitted_student,offer_acceptance,https://gs.eduhk.hk/prospective/after-getting-an-offer/,1,no,success,200.0,"After Getting an Offer – Graduate School, The Education University of Hong Kong",https://gs.eduhk.hk/prospective/after-getting-an-offer/,2026-06-25T15:29:13+00:00,data/raw_pages/eduhk__admitted_student__ba8813070f.txt,text/html,2047,success,"After Getting an Offer – Graduate School, The Education University of Hong Kong",https://gs.eduhk.hk/prospective/after-getting-an-offer/,2026-06-25T15:29:13+00:00,data/raw_pages/eduhk__admitted_student__ba8813070f.txt,text/html,2047,1,1,2026-06-25T15:29:13+00:00,yes,no,,
EdUHK,registration,registration,https://gs.eduhk.hk/prospective/after-getting-an-offer/,1,no,success,200.0,"After Getting an Offer – Graduate School, The Education University of Hong Kong",https://gs.eduhk.hk/prospective/after-getting-an-offer/,2026-06-25T15:29:21+00:00,data/raw_pages/eduhk__registration__ba8813070f.txt,text/html,2047,success,"After Getting an Offer – Graduate School, The Education University of Hong Kong",https://gs.eduhk.hk/prospective/after-getting-an-offer/,2026-06-25T15:29:21+00:00,data/raw_pages/eduhk__registration__ba8813070f.txt,text/html,2047,1,1,2026-06-25T15:29:21+00:00,yes,no,,
EdUHK,tuition,payment,https://gs.eduhk.hk/pg-programmes-2026/application-admission.html,1,no,success,200.0,Application & Admission,https://gs.eduhk.hk/pg-programmes-2026/application-admission.html,2026-06-25T15:29:21+00:00,data/raw_pages/eduhk__tuition__595e96ff68.txt,text/html,19879,success,Application & Admission,https://gs.eduhk.hk/pg-programmes-2026/application-admission.html,2026-06-25T15:29:21+00:00,data/raw_pages/eduhk__tuition__595e96ff68.txt,text/html,19879,1,1,2026-06-25T15:29:21+00:00,yes,no,,
EdUHK,visa,visa,https://gs.eduhk.hk/prospective/information-for-non-local-student/,1,yes,success_dynamic,200.0,"Information for Non-Local Student – Graduate School, The Education University of Hong Kong",https://gs.eduhk.hk/prospective/information-for-non-local-student/,2026-06-29T01:07:05+00:00,data/raw_pages/eduhk__visa__d50d25f12a.txt,text/html,1276,success_dynamic,"Information for Non-Local Student – Graduate School, The Education University of Hong Kong",https://gs.eduhk.hk/prospective/information-for-non-local-student/,2026-06-29T01:07:05+00:00,data/raw_pages/eduhk__visa__d50d25f12a.txt,text/html,1276,2,2,2026-06-29T01:07:05+00:00,yes,no,,
EdUHK,faq,general,https://gs.eduhk.hk/prospective/information-for-non-local-student/,2,yes,success_dynamic,200.0,"Information for Non-Local Student – Graduate School, The Education University of Hong Kong",https://gs.eduhk.hk/prospective/information-for-non-local-student/,2026-06-29T01:07:27+00:00,data/raw_pages/eduhk__faq__d50d25f12a.txt,text/html,1276,success_dynamic,"Information for Non-Local Student – Graduate School, The Education University of Hong Kong",https://gs.eduhk.hk/prospective/information-for-non-local-student/,2026-06-29T01:07:27+00:00,data/raw_pages/eduhk__faq__d50d25f12a.txt,text/html,1276,2,2,2026-06-29T01:07:27+00:00,yes,no,,
