school,page_type,stage,source_url,latest_status,usable_status,latest_char_count,usable_char_count,raw_file_exists,chunk_count,faq_count,task_count,coverage_level,needs_attention,notes
HKUST,orientation,orientation,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/moving-to-hong-kong,success_dynamic,success_dynamic,1481,1481,yes,2,0,1,ok,no,
Lingnan,accommodation,housing,https://www.ln.edu.hk/osa/student-experience/cultural-integration/planning-your-arrival/accommodation,success,success,5023,5023,yes,8,0,1,ok,no,
Lingnan,admitted_student,offer_acceptance,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,success,success,6505,6505,yes,9,0,3,ok,no,
Lingnan,registration,registration,https://www.ln.edu.hk/sgs/for-prospective-students/taught-postgraduate-programmes/admission-information,success,success,6505,6505,yes,9,0,1,ok,no,
Lingnan,visa,visa,https://www.ln.edu.hk/fb/tpo/applications/information-for-non-local-applicants,success,success,2598,2598,yes,4,0,1,ok,no,
Lingnan,faq,general,https://www.ln.edu.hk/sgs/tpg/applications/faqs,success_dynamic,success_dynamic,4329,4329,yes,7,11,0,ok,no,
Lingnan,orientation,orientation,https://www.ln.edu.hk/osa/student-experience/cultural-integration/orientation-and-support/orientation-for-non-local-taught-postgraduate-students,success,success,2105,2105,yes,3,0,1,ok,no,
Lingnan,tuition,payment,https://www.ln.edu.hk/sgs/tpg,success_dynamic,success_dynamic,861,861,yes,1,0,1,ok,no,
PolyU,accommodation,housing,https://www.polyu.edu.hk/sao/student-resources-and-support-section/residential-life/,success,success,1494,1494,yes,2,0,1,ok,no,
PolyU,offer_holder,offer_acceptance,https://www.polyu.edu.hk/study/pg/taught-postgraduate/,success,success,3103,3103,yes,4,0,3,ok,no,
PolyU,registration,registration,https://www.polyu.edu.hk/ar/students-in-taught-programmes/registration-information/programme-registration-enrolment/,success,success,1176,1176,yes,2,0,1,ok,no,
PolyU,tuition,payment,https://www.polyu.edu.hk/study/pg/taught-postgraduate/tuition-fees-tpg,success,success,52543,52543,yes,73,0,1,ok,no,
PolyU,visa,visa,https://www.polyu.edu.hk/ar/web/for-new-students/non-local-students/important-notes-for-non-local-students/,success,success,1505,1505,yes,2,0,1,ok,no,
PolyU,faq,general,https://www.polyu.edu.hk/study/pg/taught-postgraduate/frequently-asked-questions-tpg,success_dynamic,success_dynamic,19934,19934,yes,31,47,0,ok,no,
PolyU,orientation,orientation,https://www.polyu.edu.hk/sao/student-resources-and-support-section/non-local-student-services/programmes-for-nls/orientation-and-welcoming-weeks/,success,success,1394,1394,yes,2,0,1,ok,no,
